Stakeholder,Organization category,Overall role,Role in DBE,Mandates,Triggers,Organization's Mission
International Maritime Organization (IMO),UN Organizations,"Responsible for the safety of life at sea, maritime security, and the protection of the marine environment through prevention of sea pollution caused by ships.",The Maritime Safety Committee (MSC) would enforce standards for health in ports and on ships; would also play a role in handling stowaways should individuals seek to leave a country in this manner.,UN General Assembly Resolution 204(III),DBE involved in a port State; refugees flee a country as stowaways,KD001E - 2023 Edition (Secretariat).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/XDLYKJTsWlEzUvoHa8_LqQ/PRQXrp46VXIk3fSNS8z-wM2Y4wRo2ZMpUAysCJ7pOh-7DbYJHZBEMj--Z7CK8eiEKVueARa_6jh80-jaL0XFibPEykaSmjTPKh-6r2xD0I6v6xeSN2HbuSqvprJoqQ9jyrUQQfYQVu1SvW85-0H7U4b7tMkgo_eB2K4W6P5oQF2ux0NE4clAnTUkVNQGI8NV/XwVW9M9ZgL3saVk6q5WWUh7H69yFNzVk9QsAgx_cYAc)
International NGOs,NGOs,"Provide assistance to national governments across a variety of roles, including both humanitarian and providing public health services and medical care.","Provide assistance to national governments across a variety of roles, including both humanitarian and providing public health services and medical care.",Organization-specific mandate,Request from state for assistance; NGO determines their assistance is necessary,
International Organization For Migration (IOM),UN Organizations,"Provide assistance to displaced/migrant populations, camp management, humanitarian border management.","Provide assistance to displaced/migrant populations, camp management, humanitarian border management in response to any population displacement resulting from the DBE.","IOM Constitution,IASC Framework",,iom-constitution-3rd-en (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/lg7PVxw94u4_xkB_inag9w/sGLm-yZs6WvInQ2aLmhdkx3lCjvBT9gNgCxTJ8jQ_Tb7dX8kwNkx213KbiBBQs6an_kjXWwiH-3Q_OiUxYEAfTINE2g7vkZedKdt9bFH-oT6wlvOveo7sqelHf4A3biWHfB7x_PuRzTTXpGqYgemoaZCwPMZpGEonnn9gKg-2ulBRUHhx-pj383yXXY9LMv9/GkVm5fwUfhrC1LFH8xsAPLo9dcRETDLCyy3HmwMffDs)
Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU),UN Organizations,"Respond to environmental emergencies by coordinating international efforts and mobilizing partners to assist affected countries requesting assistance. Upon request, support the assessment of the incident's impact (environment, human and livelihood).","Respond to environmental emergencies by coordinating international efforts and mobilizing partners to assist affected countries requesting assistance. Upon request, support the assessment of the incident's impact (environment, human and livelihood).",UN General Assembly Resolution 46/182,Request from State for assistance,Guidelines_for_Environmental_Emergencies_Version_1.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/cxnQgXQy2qCbsZbp9FIjAg/nNo9axyacc-Kuj-k9-AyUkdVCa-CevrLb991nbr-PaE6TvzG81LgK4YcJvdcXI24KbLrCVmsZIlSabrLf_jcFHZbMXXmafVgdE_am45mZcRTDHnECB_EkMpVIYLTR2rU2eYgEyvQOV87PQppQLarXB8z_iXNgYniAbUw9cUPdkx69Jb23JzPpZ0Ab1ZQhjiTzCv1BPwosMmrtBZPV1wR2A/p5aPZ8BH7Ml0G3JmMKeCBWqljYbjD9LVKCVu7XlIdpg)
Laboratory professionals,Affected Member State,Conduct diagnostic testing and identify unknown agent.,Conduct diagnostic testing and identify unknown agent.,"National regulations and policies,local regulations and policies",Case identified,
Local NGOs,NGOs,"Provide assistance to local governments across a variety of roles, including both humanitarian and providing public health services and medical care.","First providers on the ground of humanitarian, medical and logistical support during the crisis. In contrast to international NGOs, local NGO workers would be allowed to remain on the ground and respond to the crises.",Organization-specific mandate,Case identified,
Member States (non-affected),Non-affected Member States,National governments who are not impacted by an event may provide support to affected national governments.,Provide support to affected national governments.,National regulations and policies,Request for assistance from affected government or from UN,
Ministry of Agriculture or Livestock,Affected Member State,"Develop and execute federal laws related to farming, agriculture, forestry, and food.",Coordinate with other countries and food programs to ensure the country has access to safe food during a DBE.,National regulations and policies,First case in animals identified by veterinary professionals,
Ministry of Commerce,Affected Member State,"Create infrastructure to promote economic growth, technological competitiveness, and sustainable development.","Determine whether any markets will be largely affected by a DBE, coordinate efforts to minimize the damage of a DBE to commerce.",National regulations and policies,First case in animals,
Ministry of Environment,Affected Member State,"Plan, promote, coordinate, and oversee environmental programs at the national level.",Assess situation to evaluate any expected environmental impacts.,National regulations and policies,Case identified,
Ministry of Health,Affected Member State,"Work to improve the health, safety, and well-being of the country.","Assess the situation and coordinates disaster response, mobilizes Public Health Emergency Operation Center.",National regulations and policies,First case in humans identified by medical professionals,
National Academies,Non-affected Member States,"Provide nonpartisan, objective guidance for decision makers on pressing issues.","Advise governments, contribute to the work of non-governmental organizations, and inform the public about scientific and technical issues related to international security and biological weapons.",Organization's mission,,
National and regional militaries ,Non-affected Member States,"Protect national interests, supports national security and defense.",Protect responders in a public health emergency.,National regulations and policies,Case identified,
Organisation for the Prohibition of Chemical Weapons (OPCW),Non-UN International Organizations,"Investigate of alleged uses of chemical weapons and assistance and protection against such use. Would not have a direct involvement in the response to a deliberate biological event, but would provide technical assistance and share acquired experience to the agencies responsible for responding to the event.","Would not have a direct involvement in the response to a deliberate biological event, but would provide technical assistance and share acquired experience to the agencies responsible for responding to the event.","Chemical Weapons Convention (Articles IX-X),UN General Assembly Resolution 55/283","No direct involvement, but would likely provide technical assistance to other agencies responsible for responding to DBE",CWC_en (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/mFyKdR7KvVjRrJd2nPFamw/B7HI28Q8KkbJtubkKaE8ND-WO1fw0bhxDBZjp8w4jKXQo_8fcYmrCgW4yBGkzaYYQOipoNMG4WCActemkrl1bgxGueJSZNKQ0pH_yqtCqY3zQPWDWDCuZYo6WJpTU7IztZie939PTsJMV7wodVqbPSEdkaGScke3QZLv_n8aqLA/UmnSaNZcdN1msT50XcL91k4U7YVky_G2tyAyPOGoLXo)
Pharmaceutical companies,Private Sector,R&D and production of novel drugs and vaccines.,"R&D and production of drugs and vaccines. Based on company-specific mandate, would be involved if there was a need for development or distribution of medical countermeasures.",Organization-specific mandates,"Based on company-specific mandate, would be involved if there was a need for development or distribution of medical countermeasures or other relevant materials",
Private sector healthcare providers,Private Sector,"Triage patients and provide patient care in private clinics and hospitals. Healthcare providers may include physicians, nurses, community health workers, traditional healers, and other professionals involved in the provision of medical care.","Triage patients and provide patient care in private clinics and hospitals. Healthcare providers may include physicians, nurses, community health workers, traditional healers, and other professionals involved in the provision of medical care.","National regulations and policies,Local regulations and policies",Case identified,
Public sector healthcare providers,Affected Member State,"Triage patients and provide patient care in public clinics, hospitals, and other public health facilities. Healthcare providers may include physicians, nurses, community health workers, traditional healers, and other professionals involved in the provision of medical care.","Triage patients and provide patient care in public clinics, hospitals, and other public health facilities. Healthcare providers may include physicians, nurses, community health workers, traditional healers, and other professionals involved in the provision of medical care.","National regulations and policies,Local regulations and policies",Case identified,
Regional and local law enforcement,Affected Member State,Monitor criminal activity to protect people in an area.,Protect responders in a public health emergency.,National regulations and policies,Mobilization of responders,
Sabin Vaccine Institute,NGOs,"Extend the benefits of immunization to all people through three strategic ambitions: enabling vaccine access and uptake, advancing vaccine knowledge and innovation, and researching and developing new vaccines.","Leverage experience, capabilities and partnerships to tackle challenges around access and uptake of existing vaccines, and research and development of new vaccines.",Organization's mission,,Clinical-Partnership-Framework-01052024-FINAL.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/qhQxUwwWRYTcsILncJ93ZQ/MZ3Kcvnmcb57LuVKV14nfwLtWTN7GoQmxyyP9PxVo5tqBIxKCWeogeLtgWCspefpAijaRkTSaRhC9cJ75WTdC8H04wkJWUfl38AfTTpYmiTWPuLIGmjy_tD67G4SFRu2QGxw4McbsphczrfsdGSeQ2lDfNGK57v5-_oCgYL9yDGsysWIknL9lxc-30kaOw37-ZrcN-BGJLfyDhcQBzI82g/Dmpp1oFHtGdV22tOUpTbQT4TI2OYGdBGhYlMW22g9BQ)
Telecommunications companies,Private Sector,"Provide telecommunication support to field workers, NGOs, and governments.","Provide telecommunication support to field workers, NGOs, and governments.",Organization-specific mandates,"Based on company-specific mandate, would be involved in there was a need for additional telecommunication support in the impacted area",
UN General Assembly (UNGA),UN Organizations,"Member States may request assistance directly from the UN General Assembly, the policy-making and representative organ of the UN.","Member States may request assistance directly from the UN General Assembly, the policy-making and representative organ of the UN.","UN General Assembly Resolution 42/37C,UN General Assembly Resolution 55/283",Request from any UN member State (suspicion of deliberate use),A_520_Rev.20.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/cAgsevitNOvwRqYSCWcswQ/qwXTkh0XcToI3XaCRfZACwH-WqgSu-dG_xzw-mBmV7Z4lzsdCBp4sHogEOuMxBhYRBy9yqeexiiMLQXCiB-wn3YTbZvIIlRhAF9p7_1du_69IXBS-lsXVQE7nEQvcblhg3KbXVG-uAqm3ym45EEMuc42PVFlZW42oEddT8DpUY4/jCGowPiS-YdV7_n4Wtw63UxThMpIyTHLf8KW_FaHk-U)
United Nations Children's Fund (UNICEF),UN Organizations,"Advocate for the protection of children's rights, to help meet their basic needs and to expand their opportunities to reach their full potential.","Support response and recovery activities, with an emphasis on providing services to children and families",,,UNICEF's Competency Framework.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/mcLiu3Z5yw2hYAl0pcODHA/mv5AH22YHGzSX4he1YNantCxTaDlWy6B4LGahv54rUQQlD2Uw09xBZSTb4vGmXPiXbkAjeRK-mA4Czn1XXi1VUc7MOEtNQDXRYtC8SpkkAWUfW4UW1fQUNlBcHC_TSIs1pAyiBnDgjw1Ozu_WfF3UiqQzMmIp2VN7pqW3ksaMidj_ry4HSik2Mo1FJtpDwYG/tkTuzI7UpqpC1JoRqCNe0wjeGov5Ol2atFIUOcLKNHI)
United Nations Department for Safety and Security (UNDSS),UN Organizations,Provide professional safety and security services to UN personnel,Provide professional safety and security services to UN personnel working to respond to the DBE.,UN General Assembly Resolution 59/276,Deployment of UN personnel,
United Nations Department of Public Information (UNDPI),UN Organizations,Promote global awareness and understanding of the work of the United Nations; provide internal and external communication support.,Provide internal and external communication support and assistance to UN personnel.,Organization-specific mandates,Based on its institutional mandate and/or based on a request by the UNSG,
United Nations Disaster Assessment and Coordination (UNDAC),UN Organizations,"Deploy at short notice (12-48 hours) anywhere in the world. UNDAC teams are are provided free of charge to a disaster-affected country, and deployed upon the request of the United Nations Resident or Humanitarian Coordinator and/or the affected Government.",Mobilized by OCHA to help coordinate response and provide support to the affected government; help coordinate the humanitarian actors on the ground and the inter-cluster mechanism.,United Nations General Assembly Resolution 57/150,Upon request specific request and mobilized by OCHA,undac_handbook_2006_en.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/gR-UaCVKB6GyiyT12FgHAQ/l62kAPB9IOtWaf33RIRs1oKzasJBoewZb9wrmcue2bE8-CmDGN6dmtS3Vs9y8W5XpcTXRxKASdXIlcNxUCFoczIP8n9G7elWH7C6_u16ilBQBkTqqyHIMKHDyuHFpMTtKKMkYzVU5dbZhhTRmLMOsnVsN9FkJ83Cf_X-9w_ilrnM6b8AKJd6DOq68lcg2MAj/dhkLXgulogAi12-WtS1-EEudNq3VcGO67coKCL0Cz7A)
United Nations High Commissioner for Refugees (UNHCR),UN Organizations,Assist refugees fleeing violence and war seek asylum and find safe refuge.,Assist those fleeing the country in which a DBE occurred to find safe refuge in another State.,"UN General Assembly Resolution 428(V),UN General Assembly Resolution 58/153",The High Commissioner recognizes a situation with refugees who fall within a defined scope,3b66c39e1.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/pd18Y1QNOGWVkRl8MlGd_w/OkYKJ1Z1JE0NNZ_Gg2zj4DkxUifVH0wFcWubb7G6QfmQfVpfU-DyGHvIbC6pdAm87Bjm7Fz6Jml1rv-0mqlMPZ0pIXV4xMyCR7ZHYqxBxCCsd5rHiBIJ618wfcUZR0HZj8G6_ZCa28L9Qda1uCBOm5yMS3O_Iy-Sim9ALOB3QDY/a65IRj7VeK3r8sjuc7mK-oaL4ityLCFsi8pYmlOZZ_Q)
United Nations Institute for Disarmament Research (UNIDIR),UN Organizations,Assist the international community in finding and implementing solutions to disarmament and security challenges; provide data on problems relating to international security.,Assist the international community in finding and implementing solutions to disarmament and security challenges; provide data on problems relating to international security.,UNIDIR Statute (39th session of the UNGA),Request for research,UNIDIR_CS_2023-Conference_Report_Use_of_ICTs_by_States_Roles_Responsibilities_under_UN_Charter (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/TSbwYyKRkULHE1sdfodeJQ/fl-RsWpaFEDaadR_mdJMbDEu6fwYRhCE4fTf2xVh5tgVgYI3b-NLHGYq4kxoTnvQE7ZuruQnOpw8xhUgdkX3Ds_JnFPvYvmeWQircodxb685FZiQj58rrUUTapeFNvvRXNY2PgvAxm9Mlu6aLyWatKvyfQVLQltO4Y1iEkRJywevdVbV3wFQu1okxYyPi9Zy2BsqMQskswpG2eBPHrI-gL-R2ao4yBwskyz4Mlmaex8QFd6nzGinHRGsMmJc_1UU2wzhsveGgAIEOZ8pWA1BvQ/5-oPTT6pWDQ-JMCJEO9lwgWNi-rQdRGj7CHnX7n6Sl4)
United Nations Office for Disaster Risk Reduction (UNDRR),UN Organizations,Coordinate disaster reduction efforts and work to promote synergies among the disaster reduction activities of the United Nations system and regional actors.,"Manage disaster reduction activities and work to promote an efficient and coordinated response across international, national, and regional organizations.","UN General Assembly Resolution 56/195,UN General Assembly Resolution 61/198",Request for assistance from affected government,
United Nations Interregional Crime and Justice Research Institute (UNICRI),UN Organizations,"Work to advance understanding of crime-related problems, foster just and efficient criminal justice systems, support the respect of international instruments and standards, and facilitate international law enforcement cooperation and judicial assistance.","Assists intergovernmental, governmental and non-governmental organizations in formulating and implementing policies relating to crime prevention and criminal justice.","ECOSOC Res/1989/56,UN General Assembly Resolution 44/72,Milan Plan of Action","No direct involvement, but would likely be consulted when determining attribution",UNICRI Statute.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/oNEaHT3P3fAKzt-UfDaYEA/Dswtp_3s2gCWLxWLE90zm9BPJvh31ApYWVhGoIHwB7YilkAqDVGAsHFrLuxK75-he_HHXzhJCVp9T11HQPM-hKPkXiztENJvBIWrwSCCry_QNp8UOngebCnj-4gc8jDwpuVTjQ23pwTWQ7tjQLz-EMIM3mDIjMWcIeUz2doLs_g/wF7bgPfrCJT3DGmnGPKI0vWwMvrUMGL8O88u8inW8cw)
United Nations Office for Disarmament Affairs (UNODA),UN Organizations,Promote nuclear disarmament and nonproliferation; strengthen the disarmament regimes in respect to other weapons of mass destruction (including chemical and biological weapons); would be the party responsible for requesting an investigation into a breach of the BWC; would assist States facing a hazardous exposure as a result of a violation of the BWC.,Responsible for requesting an investigation into a breach of the BWC; would assist States facing a hazardous exposure as a result of a violation of the BWC.,"Biological Weapons Convention,Biological Weapons Convention Conference VI,UN General Assembly Resolution 55/283",Biological Weapons Convention Articles VI and VII; Biological Weapons Convention Conference VI WP.7,
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),UN Organizations,"Mobilize and coordinate effective and principled humanitarian action during disaster/emergencies, promote preparedness and prevention, and faciliate sustainable solutions","Mobilize and coordinate effective and principled humanitarian action during disaster/emergencies, including identifying humanitarian assistance needs and assessing environmental impact","UN General Assembly Resolution 46/182,UN General Assembly Resolution 60/124",Request/consent by State,
United Nations Secretary General (UNSG),UN Organizations,Carry out prompt investigations in response to allegations brought to his attention concerning the possible use of chemical and bacteriological (biological) and toxin weapons.,"Through the United Nations Secretary-General's Mechanism (UNSGM), to appoint experts to undertake investigation of activities reported by UN member States.","UN General Assembly Resolution 42/37C,UN Security Council Resolution 620 (1988)",Request from any UN member State (suspicion of deliberate use),
United Nations Secretary-General's Mechanism (UNSGM),UN Organizations,Carry out prompt investigations in response to allegations brought to the UN Secretary General's attention concerning the possible use of chemical and bacteriological (biological) and toxin weapons.,"Collect relevant data/information and perform analyses in order to ascertain facts related to the allegation of use, all of which are provided within a report to the Secretary General.","UN General Assembly Resolution 42/37C,UN Security Council Resolution 620 (1988),Memorandum of Understanding between UNSGM and OIE,Memorandum of Understanding between UNSGM and WHO",Request from any UN member State (suspicion of deliberate use),
United Nations Security Council (UNSC) 1540 Committee,UN Organizations,"Facilitate implementation of resolution 1540 (2004) by all States. Could offer States technical expertise in drafting their reports to the 1540 Committee, and assistance preparing requests, and implementation planning, but only to the extent that its resources or voluntary contributions to the 1540 Committee allow.","Facilitate implementation of resolution 1540 (2004) by all States. Could offer States technical expertise in drafting their reports to the 1540 Committee, and assistance preparing requests, and implementation planning, but only to the extent that its resources or voluntary contributions to the 1540 Committee allow.","UN Security Council Resolution 1540 (2004),UN Security Council Resolution 1673 (2006),UN Security Council Resolution 1810 (2008),UN Security Council Resolution 1977 (2011),Chapter VII of the United Nations Charter",Specific requests from other States,Security Council.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/RmLehuKWhnFEf-4u7vMFfw/9Yg44JmNPo3gpmZb0McPS0eYWnuXdtrFxkoD1YnjNfRmBnv5q6BNthSvUsXbIdYOZr3hS_RVegwhTWO-poFkX298FySCmSN9b4NLim6HNlzSI4-0c3-UnhFBIWxggkxn0ge4y6jjsHWztCOhT3X35abj0JJwY0R8yocN4egxpRY/X5Ki1Sj0tltEf5_hYtScqfJ5nV0pWDgUseolW5X1PCM)
Veterinary care providers,Affected Member State,Provide veterinary care at the local and regional levels.,Provide veterinary care at the local and regional levels.,"National regulations and policies,Local regulations and policies",First case in animals identified by veterinary professionals,
World Bank Group (WBG),Non-UN International Organizations,Provide financial and technical assistance to developing countries.,"Provide financial assistance to developing nations in their response efforts immediately following a DBE, and likely their rebuilding efforts following an event.",Pandemic Emergency Financing Framework (PEF),Request for funds from an affected country,IBRDArticlesOfAgreementEnglish.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/aFkdlXcApbemOKvhd35gnA/tDKG1BY8U6jhUBMbIp1oelhLWMbQGmbt7f1hxBIzlu7gMfNFnWE5qCofYdIh_HQntmNWm3Yr_HgDDzw8NnKFFTdhVBAW4J3iqzLLZ6Q4Ua0HlXmggSuc6E6GqQlBadgKQMPwLTXbXqLFr-w6BH6r8XqqX3kuZRoBytPXIAjb1rpzSZmCE5gfQoNoZzV2rNSp/0VAjKbpB8aoym-UjHSTOTnBij8htZJBC7pq42WFYL_4)
World Customs Organization (WCO),Non-UN International Organizations,Provide indirect support through the enforcement and compliance of Customs border regulations.,Provide indirect support through the enforcement and compliance of Customs border regulations; promote exchange of information among Customs administrations.,Convention to Establishing a Customs Co-operation Council (CCC),Request from Member State,convccc.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/8bdRYs4GjGcan-b0yufX_g/Opj1zlwxMZquzba-p7R8VMs3fruRlWPOoAXtPsmBPBa6pfnD-39mmnGY9Jln8Xj8txQ-XG1G0V5KVuQxs-SRo5T_eMcWkv0uREB5SncxIKxdDnitusOMftRGrQLZpLkUp9zPEjHWOF6Ocb62Pnl4N2wpimzYddrRijc0R3UUhi4/A9ynOc4PIl7wFCz9kwSjB52L3dkTuGwH477fAgYz4Tc)
